TLS,170,43.629101,1.36382,FR-N,
LAS,169,36.08010101,-115.1520004,US-NV,
TPA,169,27.97550011,-82.53320313,US-FL,
GLA,168,55.87189865,-4.433060169,GB-SCT,
NCL,168,55.03749847,-1.691669941,GB-ENG,
RIO,168,,,,
SLC,168,40.78839874,-111.9779968,US-UT,
YEA,168,,,,
YEG,168,53.30970001,-113.5800018,CA-AB,
HND,166,35.5522995,139.7799988,JP-13,
RIX,166,56.92359924,23.97109985,LV-RIX,
SAN,166,32.73360062,-117.1900024,US-CA,
SOF,166,42.69669342,23.41143608,BG-23,
SXF,166,52.38000107,13.52250004,DE-BR,
RDU,165,35.87760162,-78.78749847,US-NC,
AUS,163,30.29872235,-97.69978523,US-TX,
RUH,163,24.95759964,46.69879913,SA-01,
AGP,162,36.67490005,-4.499110222,ES-AN,
HOU,161,29.64539909,-95.27890015,US-TX,
BEG,160,44.81840134,20.3090992,RS-00,
CGN,160,50.86589813,7.142739773,DE-NW,
MRS,160,43.43927192,5.221424103,FR-U,
CMN,159,33.36750031,-7.589970112,MA-CAS,
HAJ,159,52.46110153,9.685079575,DE-NI,
ZAG,159,45.74290085,16.06879997,HR-21,
AMM,158,31.72260094,35.99319839,JO-AM,
BUR,158,34.20069885,-118.3590012,US-CA,
SNA,158,33.67570114,-117.8679962,US-CA,
BUE,156,,,,
CAN,156,23.39240074,113.2990036,CN-44,
NAP,156,40.886002,14.2908,IT-72,
EZE,155,-34.8222,-58.5358,AR-B,
FLR,155,43.810001,11.2051,IT-52,
LCA,155,34.87509918,33.62490082,CY-04,
PBI,155,26.68320084,-80.09559631,US-FL,
STL,155,38.74869919,-90.37000275,US-MO,
CMH,154,39.9980011,-82.89189911,US-OH,
MCI,154,39.2976,-94.713898,US-MO,
JED,153,21.67959976,39.15650177,SA-02,
LGB,153,33.81769943,-118.1520004,US-CA,
LUX,153,49.6233333,6.2044444,LU-L,
CPT,152,-33.96480179,18.60169983,ZA-WC,
MEL,151,-37.6733017,144.8430023,AU-VIC,
SCL,151,-33.39300156,-70.78579712,CL-RM,
TRN,151,45.200802,7.64963,IT-21,
BOD,150,44.82830048,-0.715556026,FR-B,
YTZ,150,43.627499,-79.396202,CA-ON,
AKL,149,-37.0080986,174.7920074,NZ-AUK,
BIO,149,43.30110168,-2.910609961,ES-PV,
BOG,149,4.70159,-74.1469,CO-CUN,
IND,149,39.7173,-86.294403,US-IN,
JAX,149,30.49410057,-81.68789673,US-FL,
LOS,149,6.577370167,3.321160078,NG-LA,
MSY,148,29.99340057,-90.25800323,US-LA,
BNE,147,-27.38419914,153.1170044,AU-QLD,
CVG,147,39.04880142,-84.6678009,US-KY,
SMF,147,38.69540024,-121.5910034,US-CA,
ABZ,146,57.20190048,-2.197779894,GB-SCT,
ADD,146,8.977890015,38.79930115,ET-AA,
CLE,146,41.4117012,-81.84980011,US-OH,
NUE,146,49.498699,11.0780556,DE-BY,
PIT,146,40.49150085,-80.23290253,US-PA,
PTY,146,9.071359634,-79.38349915,PA-8,
TLL,146,59.41329956,24.83279991,EE-37,
KRK,145,50.07770157,19.78479958,PL-MA,
SAC,145,38.51250076,-121.4929962,US-CA,
TRF,145,59.18669891,10.25860024,NO-07,
VKO,145,55.59149933,37.26150131,RU-MOS,
VLC,145,39.48929977,-0.481624991,ES-V,
VNO,145,54.63410187,25.28580093,LT-VL,
HNL,144,21.31870079,-157.9219971,US-HI,
TPE,144,25.07769966,121.2330017,TW-TAO,
BLL,143,55.74029922,9.151780128,DK-83,
YHZ,143,44.88079834,-63.50859833,CA-NS,
ACC,142,5.6051898,-0.166786,GH-AA,
BNA,142,36.12450027,-86.67819977,US-TN,
DWC,142,24.896356,55.161389,AE-DU,
KWI,141,29.22660065,47.96889877,KW-FA,
TUN,141,36.85100174,10.22719955,TN-11,
BRS,139,51.38270187,-2.719089985,GB-ENG,
LJU,139,46.223701,14.4576,SI-061,
